Projekt [Quiz-Game] ([https://github.com/GDayIT/Quiz-Game.git]);;;;;;;;;;;
Projektmanagement;;;;;;;;;;;
Use Case;Task*;Datum*;Zeitaufwand;Status;Zeitverbrauch;;;;;;
;;;204,5;;204,5;;Legende:;;;;
;Party Projekt abschliesen!;Mo. 21 Juli;8;Final;8;;(zeit auslastung (zt));;;;
;Analyse der Mockups anhand Kundenanforderungen;Di. 22  Juli;1;Final;1;;;;;;
;Vorbereitung erster Ansätze für die GUI;Di. 22  Juli;6,5;Final;6,5;;;;;;
;Mit den anderen vorgehen besprochen;Di. 22  Juli;0,5;Final;0,5;;;;;;
;Use Case mit/in UML erstellen;Mi. 23  Juli;2,5;Final;2,5;;;;;;
;Storyboards;Mi. 23  Juli;3;Final;3;;;;;;
;GUI-Prototyp;Mi. 23  Juli;3;Final;3;;;;;;
;GUI-Prototyp;Do. 24  Juli;2;Final;2;;;;;;
;10:00 Teammeeting zu TODO 1 vom Mi. 23.07.2025;Do. 24  Juli;0,5;Final;0,5;;;;;;
;GUI-Prototyp + Business-Logik-Schicht;Do. 24  Juli;5,5;Final;5,5;;;;;;
;Business-Logik-Schicht + Fake-Daten (Mit Vorbehalt);Fr. 25  Juli;0,5;Final;0,5;;;;;;
;Fake-Daten implemtieren;Fr. 25  Juli;1;Final;1;;;;;;
;Business-Logik-Schicht zu Fake-Daten ;Fr. 25  Juli;6,5;Final;6,5;;;;;;
;;Sa. 26  Juli;;Done;;;;;;;
;;So. 27  Juli;;Done;;;;;;;
;Prototypen ersetzen mit zwei Panels;Mo. 28  Juli;0,15;Final;0,15;;;;;;
;Quizfragen-Panel erstellen (GUI) + logik;Mo. 28  Juli;5;Final;10;;;;;;
;Quizlisten-Panel erstellen (GUI) + logik;Mo. 28  Juli;5;Final;4;;;;;;
;Fortsetzten der gestrigen Task (zeit auslastung (zt));Di. 29  Juli;0;Final;0;;;;;;
;Heirat der beiden Panel ohne logik;Di. 29  Juli;1;Final;1;;;;;;
;Businesslogik für Quizforming-Panel angepasst;Di. 29  Juli;2,35;Final;2,35;;;;;;
;Panel via delegat + Klassen zuweisung verbinden;Mi. 30  Juli;15;In Proccess;30;;;;;;
;Funktionalität Panel sichern, via Delegate/Lambda (zt);Do. 31  Juli;1;In Proccess;0;;;;;;
;Funkt.-  P.- sichern,via Serailisierung/Persistenz (zt);Fr. 01 August;10;In Proccess;0;;;;;;
;;Sa. 02 August;;Done;;;;;;;
;;So. 03 August;;Done;;;;;;;
;Use Cases zu UML-Diagramm;Mo. 04 August;2;Final;2;;;;;;
; Storyboard (Tab/Packages;Mo. 04 August;1;Final;1;;;;;;
;Qualitätssicherung einhalten und sich durchlesen;Mo. 04 August;1;Final;1;;;;;;
;Panel via delegat + Klassen zuweisung verbinden (zt);Mo. 04 August;4;In Proccess;0;;;;;;
;Funktionalität Panel sichern, via Delegate/Lambda (zt);Di. 05 August;2;In Proccess;2;;;;;;
;Funkt.-  P.- sichern,via Serailisierung/Persistenz (zt);Di. 05 August;2;In Proccess;2;;;;;;
;Klassendiagramm zu UML erstellen (Tab/Packages) ;Di. 05 August;2;Final;2;;;;;;
;Klassen, Felder, Meth.- mit Java Doc);Di. 05 August;3;Final;3;;;;;;
;(ERD zu Klassendiagramm) Erstellen;Mi. 06 August;2,5;Final;2,5;;;;;;
;Modularität, Delegate/Lambda + Logik;Do. 07 August;30;Error;8;;Notiz:;;;;
;Serailisierung/Persistenz gewährleisten;Do. 07 August;5;Error;8;;Da mein Projekt durch veränderung der strucktur und der;;;;
;Modularität, Delegate/Lambda + Logik (zt);Fr. 08 August;0;Error;8;; modularen weise eine bessere übersichtlichkeit erhält, ;;;;
;;Sa. 09 August;;Done;;; sind die nötigen inhalte noch nicht erstellt und noch in ;;;;
;;So. 10 August;;Done;;;Progress/Proccess oder auf error gestellt.;;;;
;Projekt neu aufgesetzt;Mo. 11 August;50;In Proccess;8;;Da dies dazu beiträgt nicht nur Programmierer zu sein sondern ;;;;
;Modularität, Delegate/Lambda + Logik (zt);Di. 12 August;0;In Proccess;8;;zu lernen ein Architekt zu werden, sorge ich nun für den;;;;
;Modularität, Delegate/Lambda + Logik (zt);Mi. 13 August;0;In Proccess;8;;nach best practice und konvention mir mitgegebenen und ;;;;
;Modularität, Delegate/Lambda + Logik (zt);Do. 14 August;0;In Proccess;8;;angemessene  Strucktur.;;;;
;Modularität, Delegate/Lambda + Logik (zt);Fr. 15 August;0;In Proccess;8;;;;;;
;Modularität, Delegate/Lambda + Logik (zt);Sa. 16 August;0;In Proccess;7;;;;;;
;Korrekturen (nach Th-UC + Java Doc + Storyboard);Sa. 16 August;0;In Proccess;3;;;;;;
;Thema Panel  incl. (Th-UC + Java Doc + Storyboard);Sa. 16 August;5;In Proccess;1;;;;;;
;Thema Panel  incl. (Th-UC + Java Doc + Storyboard);So. 17 August;0;In Proccess;4;;;;;;
;Datenmodell für die DB erstellen +;So. 17 August;3;In Proccess;2;;;;;;
; + Java-Prg. für die DB + GUI mit der KI;So. 17 August;4;In Proccess;3;;;;;;
;Korrektur : (Th-UC+Java Doc+Storyboard+Funktion);So. 17 August;1;In Proccess;1;;;;;;
;Aufgaben der Vergangenen Woche anschliesen(zt);Mo. 18 August;0;In Proccess;8;;;;;;
;Aufgaben der Vergangenen Woche anschliesen(zt);Di. 22  Juli;7;In Proccess;8;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;Tag;;TODO;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
